,0,1,2,3
"(0, 0)",-4.520538287523564,-96.98887175146739,-76.86634358182184,-4.526758732041398
"(1, 0)",-4.52378748062653,-102.19894040858273,-4.525785388675708,-51.54302783436397
"(0, 1)",-52.869176304735106,-4.509057627863799,-101.63661109206595,-4.524698007723046
"(1, 1)",-4.502172130130761,-4.518400283397163,-4.52129886565412,-4.521237940667657
"(2, 1)",-39.0357615966189,-46.41999256006832,-4.5048764790104325,-4.5018327078060265
"(3, 1)",-4.486445633926387,-49.82620782475964,-4.492177190310289,-4.501575013110617
"(3, 2)",-4.489369464288633,-4.493227131581253,-52.477130711648655,-25.0
"(1, 2)",-4.483166024356677,-4.505182328711083,-39.470360063312334,-38.767156262306784
"(1, 3)",-38.77460157172613,-4.491093571598355,-39.090853865674546,-25.0
"(4, 1)",-49.93434385761337,-49.08432446203378,-4.492269524063467,-4.511231416790212
"(3, 3)",-4.50119566052901,-4.500392832449213,-46.305553130822815,-45.18626621881061
"(5, 1)",-4.4958259231210675,-51.61221042547804,-4.509353521806643,-4.499062672219514
"(5, 2)",-4.495516896722644,-4.50221796610028,-45.779767513023536,-25.0
"(5, 3)",-39.35029187406386,-4.489483691632136,-45.88271512589228,-39.43415252842655
"(6, 1)",-25.0,-49.46114021571404,-4.488574945239685,-4.48454864217822
"(7, 1)",-4.488142616667512,-49.7449163207409,-4.4734303409270355,-39.42479377224376
"(7, 2)",-4.471332846460175,-4.481509297058306,-39.42230230302344,-39.37559282796846
"(7, 3)",-50.93964423895146,-4.45666312959813,-51.792148985929614,-4.45174580346662
"(8, 3)",-49.59822768978533,-46.51019994102188,-4.429355578493011,-4.462279196080818
"(9, 3)",-45.96255502506165,-4.452125710714067,-4.461037737435509,-4.467720004996837
"(10, 3)",-45.117219860217396,-25.0,-4.461329668806819,-4.453514860059475
"(11, 3)",-38.77041390629733,-25.0,-4.441870851857291,-4.456508091497502
"(3, 4)",-4.484187297450494,-4.505228540852272,-49.31799751416126,-38.89499677363477
"(3, 5)",-4.512483915730655,-4.498462872952053,-45.83482323175538,-39.1948552934157
"(3, 6)",-4.518488068130429,-4.5192916636899785,-49.69239886729735,-49.97148351241107
"(3, 7)",-4.499054863906834,-4.531220131679661,-4.525173665209223,-4.499330300680979
"(3, 8)",-4.481268002737945,-4.5014732815722525,-45.943666287982964,-46.36227746050331
"(4, 7)",-49.40804708271254,-52.83811039842888,-4.49998940779604,-4.489613955916516
"(2, 7)",-53.208495306703284,-52.21528326731797,-4.5282439584517675,-4.528108340102767
"(1, 7)",-51.64530632176564,-4.5244493411060365,-50.54712533886885,-4.532697786349009
"(1, 6)",-4.526266779086973,-4.507495665687589,-39.01414459044377,-46.03201633527916
"(1, 5)",-4.508103834459189,-25.0,-25.0,-25.0
"(5, 7)",-4.487682436750739,-51.35783968220524,-4.502143579347608,-38.524144261755964
"(5, 8)",-4.505627050431579,-4.506721760465579,-52.00644959642388,-25.0
"(3, 9)",-4.484385170062382,-4.4887086819876165,-4.486996800077905,-49.58532758048945
"(3, 10)",-4.482470093569485,-4.49872239491625,-51.303033285124336,-49.813818391056024
"(2, 9)",-49.16064661865315,-46.0920548409145,-4.471197590509297,-4.483991615628013
"(5, 9)",-25.0,-4.515336222538463,-38.941432638416146,-4.514141144632951
"(6, 9)",-39.08167359777402,-49.602726350412446,-4.520332431278996,-4.507054798165727
"(7, 9)",-25.0,-39.14443907733192,-4.510609184390178,-38.58081175266008
"(1, 9)",-25.0,-39.16050987304699,-39.50083162622066,-4.472283812066704
"(3, 11)",-4.480906530837192,-4.499735761206626,-52.71320390810531,-39.49695801178882
"(3, 12)",-4.4702876567864305,-4.495293746302618,-50.818572881380526,-49.70912595924788
"(3, 13)",-45.882908784009324,-4.489032852348913,-4.4617227993989275,-25.0
"(2, 13)",-46.474365610697845,-38.53094801267778,-4.463580562998011,-4.478625983973348
"(1, 13)",-4.477249419617268,-4.463109178530804,-39.34061579224743,-4.474770291391452
"(1, 12)",-4.478471724641481,-4.469319134028001,-49.21080153173398,-38.0544196875
"(1, 11)",-4.478021002015588,-25.0,-25.0,-51.4473983483701
"(1, 14)",-4.481905985252399,-4.482924346008698,-51.24078699197085,-39.32290188900107
"(1, 15)",-53.20359936811744,-4.491924774000696,-51.5322090728708,-4.4839857190544485
"(2, 15)",-49.984247359585375,-49.85508871707991,-4.496381693333138,-4.481539518272421
"(3, 15)",-48.70804379104641,-39.18294449106503,-4.495503963468323,-4.481271512396258
"(4, 15)",-52.91112361231032,-51.97979119380652,-4.497144713444378,-4.487800158928131
"(5, 15)",-38.43364448941796,-37.8906421875,-4.497355524209555,-25.0
"(9, 2)",-4.4774506569284735,-4.462708158808249,-38.751032849702895,-46.5657564210855
"(9, 1)",-4.48263072528599,-38.66277761215749,-39.36419546689068,-4.46764891210403
"(10, 1)",-39.44912981787346,-25.0,-4.482603387535593,-4.475706702466411
"(11, 1)",-39.503493763324485,-38.99902817424842,-4.480294636365363,-25.0
"(12, 3)",-46.09037613803265,-25.0,-4.45140868860566,-4.44457737540309
"(13, 3)",-4.4376833502020565,-4.439425508741906,-4.460134250720749,-4.438784330557781
"(13, 2)",-4.4450864356260045,-4.439605874607106,-25.0,-50.124342434273814
"(14, 3)",-46.07508066902612,-45.994766645053254,-4.452849037398526,-4.471226265455373
"(13, 4)",-4.436520985193853,-4.429825070668905,-49.809958031523806,-46.28847357843575
"(13, 5)",-4.4292247982144435,-4.432706736579766,-46.23884050140599,-4.424689502997474
